award,awarding organization,country,colloquial,year,notes,,
AA,Hollywood Academy of Motion Picture Arts and Sciences,USA,Oscar,,,,
AAN,Hollywood Academy of Motion Picture Arts and Sciences,USA,Oscar nomination,,,,
AFI Lifetime,American Film Institute,USA,annual awards since 1973,,,,
AFI77,American Film Institute,USA,Best movies poll 1977,,,,
Baer,Berlinale,F.R.Germany,"Berliner Baer(-Gold,Silver,Bronze)",1951,[24],,
BFA,British Film Academy,Great Britain,Stella,,,,
CC,"Siena Research Institute, for the Centennial Committee of the Hollywood Chamber of Commerce, with Siena College, Loudonville NY",USA,,1987,,,
Crystal Heart,Heartland Film Festival,,<1991,,,,
Delluc,,France,,,,,
Emmy,TV Acdemy,USA,Emmy,,,,
Fnn,Entertainment Weekly,USA,[25],,,,
Felix,European Film Festival,Europe,1988,,,,
Genie,Canadian Academy,Canada,<1991,,,,
H****,Halliwell's Film Guide,Great Britain,four stars,1983,,,
H***,Halliwell's Film Guide,Great Britain,three stars,1983,,,
H**,Halliwell's Film Guide,Great Britain,two stars,1983,,,
H*,Halliwell's Film Guide,Great Britain,one star,1983,,,
H,Halliwell's Film Guide,Great Britain,cited,1983,,,
Hersholt,Academy,USA,humanitarian,1983?,,,
JE,John Eastman: 500 Retakes,USA,,1985,,,
LAA,American Film Institute,USA,Life Achievement Award,,,,
MMA,Museum of Modern Art,USA,Film Festival,,,,
NBR,National Board of Reviews,USA,,,,,
NFR,National Film Registry,USA,Library of Congress,since 1992,Nt(Public Law 102-307) Nt(100 films as of 1992),,
NYFCC,New York Film Critics Circle,USA,,,,,
NSFC,National Society of Film Critics,USA,,since 1965,,,
RFP,Cinema Trade Benevolent Organization,\GB,Royal Film Performance,since 1946,,,
Palm,Cannes Film Festival,France AD,Golden Palm,,,,
SFIFF,San Francisco International Film Festival,USA,,,,,
TMA,Hollywood Academy of Motion Picture Arts and Sciences,USA,Thalberg Memorial Award,,,,
Tony,,USA,Tony,Nt(TV),,,
T90,Time Magazine,USA,Movies of the dcecade,,,,
VFF,Venice Film Festival,Italy,Venice,,,,
WAMPAS,Western Association of Motion Picture Advertisers,USA,WAMPAS,promising actress 1922-1934,,,
Z*,Fred Zinneman,book,Z* [x],,,,
